Server	Sets 	Games 	Points 	
Rafael Nadal  	1‑2	0‑0	40‑30	1st serve wide; backhand return down the middle (very deep); forehand inside-out; forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand down the middle; backhand down the middle; backhand down the middle; forehand down the middle (long), unforced error. (9-shot rally)
 				
Roger Federer  	2‑1	0‑1	0‑0	1st serve wide; backhand lob return down the middle (deep); smash inside-out; forehand lob down the middle, forced error.
Roger Federer  	2‑1	0‑1	15‑0	1st serve wide, fault (long). 2nd serve down the T; forehand return, forced error.
Roger Federer  	2‑1	0‑1	30‑0	1st serve down the T; forehand return down the middle (deep); forehand approach shot crosscourt; backhand slice crosscourt; forehand volley down the line, winner. (5-shot rally)
Roger Federer  	2‑1	0‑1	40‑0	1st serve down the T; backhand slice return inside-out (very deep); forehand drop shot inside-out; forehand drop shot down the line; forehand chip/slice crosscourt, forced error. (4-shot rally)
Roger Federer  	2‑1	0‑1	40‑15	1st serve wide, fault (long). 2nd serve down the T; forehand return down the middle (deep); forehand crosscourt; backhand slice down the middle; forehand inside-out; forehand down the line; forehand crosscourt; backhand slice down the line; backhand crosscourt; forehand crosscourt; backhand down the middle, winner. (11-shot rally)
 				
Rafael Nadal  	1‑2	1‑1	0‑0	1st serve to body; forehand return down the middle (shallow); forehand crosscourt; backhand crosscourt; forehand down the middle; forehand down the middle; backhand down the middle; forehand crosscourt; backhand down the line; backhand down the middle; backhand crosscourt; forehand down the line (wide), unforced error. (11-shot rally)
Rafael Nadal  	1‑2	1‑1	15‑0	1st serve to body, fault (net). 2nd serve to body; backhand slice return down the middle (deep); forehand crosscourt; backhand slice down the middle; forehand at net inside-out, winner. (5-shot rally)
Rafael Nadal  	1‑2	1‑1	30‑0	1st serve to body; backhand return down the middle (very deep); forehand down the middle; backhand down the middle; forehand down the middle (long), unforced error. (4-shot rally)
Rafael Nadal  	1‑2	1‑1	30‑15	1st serve wide; backhand return, forced error.
Rafael Nadal  	1‑2	1‑1	40‑15	1st serve wide; forehand return, forced error.
 				
Roger Federer  	2‑1	1‑2	0‑0	1st serve wide; backhand return down the middle (shallow); forehand approach shot inside-out (wide), unforced error.
Roger Federer  	2‑1	1‑2	0‑15	1st serve wide, fault (wide). 2nd serve down the T; forehand return down the middle (very deep); forehand (shank), unforced error.
Roger Federer  	2‑1	1‑2	0‑30	1st serve wide, fault (wide). 2nd serve to body; backhand return down the middle (shallow); forehand inside-out; forehand down the line; forehand chip/slice crosscourt; forehand inside-in, winner. (6-shot rally)
Roger Federer  	2‑1	1‑2	0‑40	1st serve down the T; backhand return, forced error.
Roger Federer  	2‑1	1‑2	15‑40	1st serve wide; backhand return crosscourt (shallow); forehand approach shot crosscourt; backhand down the line; backhand volley crosscourt, forced error. (4-shot rally)
 				
Rafael Nadal  	1‑2	3‑1	0‑0	1st serve to body; backhand return inside-out (deep); backhand down the middle; backhand down the middle; forehand crosscourt (wide), unforced error. (4-shot rally)
Rafael Nadal  	1‑2	3‑1	0‑15	1st serve to body, fault (long). 2nd serve wide; backhand return down the middle (deep); backhand crosscourt; forehand crosscourt; backhand down the middle; backhand crosscourt; forehand crosscourt; forehand inside-in (wide), unforced error. (7-shot rally)
Rafael Nadal  	1‑2	3‑1	15‑15	1st serve wide, fault (wide). 2nd serve down the T; forehand return crosscourt (deep); backhand crosscourt; forehand crosscourt (wide), unforced error.
Rafael Nadal  	1‑2	3‑1	30‑15	1st serve wide; backhand return crosscourt (deep); forehand crosscourt; backhand slice down the line; forehand down the middle; backhand crosscourt (wide), unforced error. (5-shot rally)
Rafael Nadal  	1‑2	3‑1	40‑15	1st serve to body; backhand return inside-out (shallow); backhand crosscourt; forehand crosscourt; backhand crosscourt; forehand down the line; forehand down the line; forehand crosscourt, winner. (8-shot rally)
Rafael Nadal  	1‑2	3‑1	40‑30	1st serve wide, fault (wide). 2nd serve down the T; forehand return down the middle (very deep); backhand down the middle; forehand approach shot inside-out; forehand crosscourt, forced error. (4-shot rally)
Rafael Nadal  	1‑2	3‑1	40‑40	1st serve to body; forehand return down the middle (very deep); forehand crosscourt; backhand crosscourt (wide), unforced error.
Rafael Nadal  	1‑2	3‑1	AD‑40	1st serve to body; backhand return down the line (very deep); backhand down the middle; forehand approach shot inside-out, winner. (4-shot rally)
Rafael Nadal  	1‑2	3‑1	40‑40	1st serve wide, fault (net). 2nd serve wide; forehand return down the middle (very deep); forehand down the middle; backhand down the middle; backhand down the middle; backhand down the middle; forehand crosscourt; backhand down the middle; backhand crosscourt; forehand down the middle (long), unforced error. (9-shot rally)
Rafael Nadal  	1‑2	3‑1	AD‑40	1st serve to body; backhand return down the line (deep); backhand crosscourt; forehand crosscourt; forehand inside-in; backhand slice crosscourt; forehand down the line; forehand chip/slice crosscourt; backhand down the line; backhand crosscourt; forehand chip/slice crosscourt, winner. (11-shot rally)
 				
Roger Federer  	2‑1	1‑4	0‑0	1st serve down the T, ace.
Roger Federer  	2‑1	1‑4	15‑0	1st serve wide, ace.
Roger Federer  	2‑1	1‑4	30‑0	1st serve wide, fault (wide and long). 2nd serve to body; backhand return down the middle (very deep); forehand crosscourt; backhand down the middle; backhand down the middle; forehand inside-out, winner. (6-shot rally)
Roger Federer  	2‑1	1‑4	30‑15	1st serve wide, fault (net). 2nd serve wide; forehand return down the line (shallow); forehand crosscourt; backhand slice down the middle; forehand crosscourt; backhand slice crosscourt; smash down the line (long), unforced error. (6-shot rally)
Roger Federer  	2‑1	1‑4	30‑30	1st serve wide, fault (net). 2nd serve wide; backhand return crosscourt (deep); forehand crosscourt; backhand crosscourt; forehand down the line (net), unforced error. (4-shot rally)
Roger Federer  	2‑1	1‑4	30‑40	1st serve down the T, ace.
Roger Federer  	2‑1	1‑4	40‑40	1st serve down the T, fault (long). 2nd serve wide; backhand return down the middle (shallow); backhand volley crosscourt; forehand down the line, forced error.
Roger Federer  	2‑1	1‑4	AD‑40	1st serve down the T, ace.
 				
Rafael Nadal  	1‑2	4‑2	0‑0	1st serve to body; forehand return, forced error.
Rafael Nadal  	1‑2	4‑2	15‑0	1st serve wide; forehand return down the middle (very deep); forehand inside-out; forehand crosscourt, forced error.
Rafael Nadal  	1‑2	4‑2	30‑0	1st serve down the T; backhand return down the middle, forced error.
Rafael Nadal  	1‑2	4‑2	40‑0	1st serve down the T, ace.
 				
Roger Federer  	2‑1	2‑5	0‑0	1st serve wide; backhand return, forced error.
Roger Federer  	2‑1	2‑5	15‑0	1st serve down the T; backhand return down the middle (very deep); forehand down the middle; backhand down the middle; forehand inside-out; forehand crosscourt; forehand inside-out, winner. (7-shot rally)
Roger Federer  	2‑1	2‑5	30‑0	1st serve wide; backhand return crosscourt (shallow), winner.
Roger Federer  	2‑1	2‑5	30‑15	1st serve down the T; backhand return down the middle (deep); forehand inside-out (wide and long), unforced error.
Roger Federer  	2‑1	2‑5	30‑30	1st serve wide, ace.
Roger Federer  	2‑1	2‑5	40‑30	1st serve wide, fault (wide and long). 2nd serve down the T; backhand return crosscourt (shallow); forehand down the line; forehand crosscourt; backhand crosscourt (wide), unforced error. (4-shot rally)
Roger Federer  	2‑1	2‑5	40‑40	1st serve wide; backhand slice return, forced error.
Roger Federer  	2‑1	2‑5	AD‑40	1st serve wide; forehand return crosscourt, forced error.
 				
Rafael Nadal  	1‑2	5‑3	0‑0	1st serve to body; forehand return, forced error.
Rafael Nadal  	1‑2	5‑3	15‑0	1st serve wide; forehand return down the middle, forced error.
Rafael Nadal  	1‑2	5‑3	30‑0	1st serve down the T, service winner.
Rafael Nadal  	1‑2	5‑3	40‑0	1st serve wide, fault (wide). 2nd serve wide; backhand return down the middle (deep); forehand crosscourt; backhand crosscourt (net), unforced error.
 				
Roger Federer  	2‑2	0‑0	0‑0	1st serve down the T; forehand return down the middle (deep); forehand crosscourt; backhand down the middle; forehand down the middle; forehand crosscourt; backhand down the middle; forehand crosscourt; backhand slice crosscourt; forehand down the line, winner. (10-shot rally)
Roger Federer  	2‑2	0‑0	0‑15	1st serve down the T, fault (wide). 2nd serve down the T; forehand return down the middle (very deep); forehand crosscourt; backhand down the line; backhand crosscourt; forehand crosscourt; backhand down the middle; forehand down the middle; forehand crosscourt; backhand down the middle; backhand inside-out; backhand down the line; backhand crosscourt; forehand crosscourt; backhand down the middle; backhand down the middle; forehand down the middle (net), unforced error. (16-shot rally)
Roger Federer  	2‑2	0‑0	0‑30	1st serve down the T, fault (long). 2nd serve to body; forehand return down the middle (shallow); forehand crosscourt, winner.
Roger Federer  	2‑2	0‑0	15‑30	1st serve wide, fault (wide). 2nd serve down the T; forehand return crosscourt (deep); forehand inside-out; forehand down the line, winner. (4-shot rally)
Roger Federer  	2‑2	0‑0	15‑40	1st serve down the T; forehand chip/slice return down the middle (very deep); forehand crosscourt; backhand down the middle; forehand crosscourt; backhand down the line; forehand inside-in; backhand down the middle; forehand crosscourt; backhand down the middle; backhand inside-out; backhand down the middle; forehand crosscourt, winner. (13-shot rally)
Roger Federer  	2‑2	0‑0	30‑40	1st serve wide, fault (wide and long). 2nd serve down the T; forehand return down the middle (deep); forehand crosscourt; backhand down the middle; forehand crosscourt; backhand down the middle; forehand inside-out (wide), unforced error. (6-shot rally)
 				
Rafael Nadal  	2‑2	1‑0	0‑0	1st serve down the T; backhand return inside-out (deep); backhand down the middle; forehand approach shot crosscourt; backhand down the line; backhand volley down the line; backhand; backhand volley, forced error. (7-shot rally)
Rafael Nadal  	2‑2	1‑0	15‑0	1st serve to body; backhand slice return down the middle (deep); forehand crosscourt (net), unforced error.
Rafael Nadal  	2‑2	1‑0	15‑15	1st serve to body; forehand return down the middle (very deep); forehand crosscourt; backhand crosscourt; forehand crosscourt (net cord); backhand at net down the line, winner. (6-shot rally)
Rafael Nadal  	2‑2	1‑0	15‑30	1st serve down the T; forehand chip/slice return down the middle (very deep); forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand crosscourt, winner. (8-shot rally)
Rafael Nadal  	2‑2	1‑0	15‑40	1st serve down the T, fault (wide). 2nd serve to body; forehand return down the middle (very deep); forehand crosscourt; backhand down the middle (net), unforced error.
Rafael Nadal  	2‑2	1‑0	30‑40	1st serve down the T; forehand return crosscourt (deep); forehand inside-in, winner.
Rafael Nadal  	2‑2	1‑0	40‑40	1st serve to body; forehand chip/slice return down the line (deep); forehand crosscourt; backhand down the line; backhand crosscourt; forehand down the middle (net cord), winner. (6-shot rally)
Rafael Nadal  	2‑2	1‑0	40‑AD	1st serve wide; backhand return down the middle (very deep); forehand inside-out; forehand chip/slice down the middle; forehand inside-out, winner. (5-shot rally)
Rafael Nadal  	2‑2	1‑0	40‑40	1st serve down the T; backhand return crosscourt (deep); forehand down the line, winner.
Rafael Nadal  	2‑2	1‑0	AD‑40	1st serve to body; forehand return down the middle (deep); backhand crosscourt; forehand down the line (long), unforced error.
 				
Roger Federer  	2‑2	0‑2	0‑0	1st serve wide, fault (net). 2nd serve down the T; forehand return, forced error.
Roger Federer  	2‑2	0‑2	15‑0	1st serve down the T; backhand return down the middle (deep); forehand crosscourt; backhand crosscourt; forehand down the middle; forehand crosscourt; backhand slice crosscourt; forehand crosscourt; backhand down the line, winner. (9-shot rally)
Roger Federer  	2‑2	0‑2	30‑0	1st serve wide, fault (net). 2nd serve wide; backhand return down the middle (shallow); forehand volley inside-out, winner.
Roger Federer  	2‑2	0‑2	40‑0	1st serve down the T, fault (net). 2nd serve down the T; backhand return down the middle (very deep); forehand inside-out; forehand crosscourt; backhand crosscourt, winner. (5-shot rally)
 				
Rafael Nadal  	2‑2	2‑1	0‑0	1st serve to body; backhand return down the middle (very deep); forehand down the middle; backhand crosscourt (net), unforced error.
Rafael Nadal  	2‑2	2‑1	15‑0	1st serve to body; backhand return down the line, forced error.
Rafael Nadal  	2‑2	2‑1	30‑0	1st serve down the T, fault (net). 2nd serve down the T, fault (net), double fault.
Rafael Nadal  	2‑2	2‑1	30‑15	1st serve wide; backhand return down the middle (very deep); forehand inside-out; forehand crosscourt; backhand down the middle; backhand crosscourt, winner. (6-shot rally)
Rafael Nadal  	2‑2	2‑1	30‑30	1st serve to body; forehand return down the middle, forced error.
Rafael Nadal  	2‑2	2‑1	40‑30	1st serve to body; forehand return down the middle (very deep); forehand inside-out; forehand crosscourt; backhand slice down the line; forehand inside-out; forehand down the middle (long), unforced error. (6-shot rally)
Rafael Nadal  	2‑2	2‑1	40‑40	1st serve down the T; backhand return inside-out (shallow); backhand crosscourt; forehand crosscourt; backhand down the line; backhand down the line, winner. (6-shot rally)
Rafael Nadal  	2‑2	2‑1	40‑AD	1st serve down the T; forehand return down the middle (very deep); forehand inside-out; forehand down the middle; forehand down the middle; forehand crosscourt; backhand crosscourt, winner. (7-shot rally)
Rafael Nadal  	2‑2	2‑1	40‑40	1st serve to body; forehand return down the middle (very deep); forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand approach shot crosscourt (long), unforced error. (5-shot rally)
Rafael Nadal  	2‑2	2‑1	AD‑40	1st serve to body; backhand return, forced error.
 				
Roger Federer  	2‑2	1‑3	0‑0	1st serve wide, fault (wide). 2nd serve wide; backhand return crosscourt (deep); forehand down the middle; forehand down the middle; backhand slice down the middle; backhand slice inside-out; forehand inside-in; backhand down the middle; backhand inside-out; backhand slice, forced error. (9-shot rally)
Roger Federer  	2‑2	1‑3	15‑0	1st serve wide; forehand return crosscourt (shallow); forehand inside-out; forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand drop shot down the line; backhand down the line, winner. (8-shot rally)
Roger Federer  	2‑2	1‑3	15‑15	1st serve wide; backhand slice return down the line (shallow); forehand at net inside-in, winner.
Roger Federer  	2‑2	1‑3	30‑15	1st serve wide; forehand return down the line (shallow); forehand at net crosscourt, winner.
Roger Federer  	2‑2	1‑3	40‑15	1st serve wide, fault (wide). 2nd serve wide; backhand return, forced error.
 				
Rafael Nadal  	2‑2	3‑2	0‑0	1st serve to body; backhand return down the middle (deep) (net cord); forehand crosscourt; backhand down the middle; forehand inside-out; forehand down the middle; forehand crosscourt; backhand down the middle; forehand crosscourt; backhand down the middle; backhand crosscourt; forehand crosscourt; backhand down the middle; forehand down the middle; forehand down the middle; backhand down the middle; forehand crosscourt; backhand crosscourt, winner. (18-shot rally)
Rafael Nadal  	2‑2	3‑2	0‑15	1st serve down the T; forehand return down the middle (very deep); forehand crosscourt; forehand inside-out; forehand crosscourt; forehand inside-out; forehand down the middle (net), unforced error. (6-shot rally)
Rafael Nadal  	2‑2	3‑2	0‑30	1st serve wide, fault (net). 2nd serve wide; forehand return crosscourt (deep); backhand crosscourt; forehand down the middle; backhand crosscourt; forehand (shank), unforced error. (5-shot rally)
Rafael Nadal  	2‑2	3‑2	15‑30	1st serve wide; backhand slice return crosscourt (shallow); forehand at net down the line, winner.
Rafael Nadal  	2‑2	3‑2	30‑30	1st serve to body; forehand return down the middle (deep); forehand inside-out; forehand down the middle; forehand crosscourt; backhand down the middle; forehand inside-out (long), unforced error. (6-shot rally)
Rafael Nadal  	2‑2	3‑2	30‑40	1st serve to body; forehand return down the middle (deep); forehand crosscourt, winner.
Rafael Nadal  	2‑2	3‑2	40‑40	1st serve wide; forehand return crosscourt, forced error.
Rafael Nadal  	2‑2	3‑2	AD‑40	1st serve to body; backhand return crosscourt (shallow); forehand crosscourt (net cord) (wide), unforced error.
Rafael Nadal  	2‑2	3‑2	40‑40	1st serve down the T; backhand return down the middle (deep); forehand inside-out; forehand crosscourt; forehand inside-in; backhand crosscourt, winner. (6-shot rally)
Rafael Nadal  	2‑2	3‑2	40‑AD	1st serve to body; backhand return down the middle (very deep); forehand crosscourt; backhand down the middle; forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand down the middle; forehand inside-out (wide), unforced error. (8-shot rally)
 				
Roger Federer  	2‑2	3‑3	0‑0	1st serve wide, ace.
Roger Federer  	2‑2	3‑3	15‑0	1st serve down the T; backhand return down the middle (shallow); forehand approach shot crosscourt; backhand down the middle; forehand volley inside-out, winner. (5-shot rally)
Roger Federer  	2‑2	3‑3	30‑0	1st serve wide; backhand return, forced error.
Roger Federer  	2‑2	3‑3	40‑0	1st serve wide, fault (net). 2nd serve wide, ace.
 				
Rafael Nadal  	2‑2	3‑4	0‑0	1st serve to body; forehand return down the middle (very deep); forehand crosscourt; backhand slice crosscourt; forehand at net down the line, forced error. (4-shot rally)
Rafael Nadal  	2‑2	3‑4	0‑15	1st serve to body; forehand return inside-in (very deep); backhand crosscourt; forehand crosscourt; backhand down the line; backhand down the middle; backhand crosscourt; forehand down the line; forehand chip/slice crosscourt; forehand at net inside-out; forehand down the line, forced error. (10-shot rally)
Rafael Nadal  	2‑2	3‑4	0‑30	1st serve down the T, fault (wide). 2nd serve down the T, fault (net), double fault.
Rafael Nadal  	2‑2	3‑4	0‑40	1st serve wide; backhand return crosscourt (very deep); forehand down the line; forehand lob, forced error.
Rafael Nadal  	2‑2	3‑4	15‑40	1st serve to body; forehand return, forced error.
Rafael Nadal  	2‑2	3‑4	30‑40	1st serve down the T, fault (long). 2nd serve wide; backhand return, forced error.
Rafael Nadal  	2‑2	3‑4	40‑40	1st serve down the T, fault (long). 2nd serve wide; forehand return crosscourt (deep); backhand down the line; backhand slice crosscourt; forehand down the line; forehand down the middle; forehand down the middle; forehand down the middle; forehand down the middle; forehand down the middle; forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand crosscourt; forehand down the middle; forehand crosscourt; backhand crosscourt; forehand down the line; forehand down the line; forehand down the middle; backhand crosscourt; forehand crosscourt; backhand down the middle; forehand crosscourt; backhand crosscourt; forehand down the line, winner. (26-shot rally)
Rafael Nadal  	2‑2	3‑4	40‑AD	1st serve down the T, service winner.
Rafael Nadal  	2‑2	3‑4	40‑40	1st serve down the T; backhand return down the middle (deep); backhand down the middle; backhand crosscourt; forehand crosscourt; backhand crosscourt; forehand down the middle; forehand down the middle; backhand down the middle; forehand approach shot inside-out; forehand, forced error. (10-shot rally)
Rafael Nadal  	2‑2	3‑4	40‑AD	1st serve wide; backhand return crosscourt (shallow); forehand, forced error.
 				
Roger Federer  	2‑2	5‑3	0‑0	1st serve down the T, fault (long). 2nd serve wide; backhand return crosscourt (shallow), winner.
Roger Federer  	2‑2	5‑3	0‑15	1st serve down the T, fault (long). 2nd serve down the T; forehand return crosscourt (very deep); backhand crosscourt; forehand crosscourt; backhand down the middle; forehand down the middle; backhand crosscourt; forehand down the line; forehand crosscourt; backhand down the line; backhand crosscourt; forehand crosscourt; backhand down the middle; backhand crosscourt; forehand crosscourt; backhand down the middle; backhand inside-out (long), unforced error. (16-shot rally)
Roger Federer  	2‑2	5‑3	0‑30	1st serve down the T, ace.
Roger Federer  	2‑2	5‑3	15‑30	1st serve wide; forehand return crosscourt (very deep); forehand down the middle; backhand crosscourt; forehand crosscourt; backhand approach shot down the line; backhand lob down the line; backhand volley crosscourt, winner. (8-shot rally)
Roger Federer  	2‑2	5‑3	15‑40	1st serve down the T, ace.
Roger Federer  	2‑2	5‑3	30‑40	1st serve down the T, fault (net). 2nd serve down the T; forehand return crosscourt (very deep); forehand inside-out; forehand crosscourt; forehand inside-out, winner. (5-shot rally)
Roger Federer  	2‑2	5‑3	40‑40	1st serve down the T; forehand return down the middle, forced error.
Roger Federer  	2‑2	5‑3	AD‑40	1st serve wide, fault (long). 2nd serve down the T; forehand return down the middle (deep); forehand inside-out (long), unforced error.
Roger Federer  	2‑2	5‑3	40‑40	1st serve wide, ace.
Roger Federer  	2‑2	5‑3	AD‑40	1st serve down the T; backhand slice return down the middle (deep); forehand approach shot crosscourt, winner.
